pdate,shunt_name,user_id,menu_id
2022-10-29,A,20220314145057_38d5f719e4e478a0011652a4f688b5d4,1
2022-10-29,A,20220315102238_413892e691b1545c19274d4fd40e37d9,1
2022-10-29,A,20220411095855_d48ec152595c20b0c612425cd89fe7f7,1
2022-10-29,A,20220507085040_29b4c8d0564648ac1dbc3a57e0b296a8,1
2022-10-29,A,20220601134959_c78d926b84d1fa4a2d870ecb4d9271fa,1
2022-10-29,A,20220618160659_5a6fab9c69ae70836e494e2dff3d3339,1
2022-10-29,A,20220623121903_f739bf98308b95c9d9745cbf5fc0dd8a,1
2022-10-29,A,20220703172025_a2570818dca976b248066914f9a24be2,2
2022-10-29,A,20220719234034_a17c06e7384d8fb11b265eb0b235b85c,2
2022-10-29,A,20220822140803_892630ec8efd6992b81d3d6d998cc465,1
2022-10-29,A,20220827114819_5dcd651971fbaf1abbedbce249b55575,1
2022-10-29,A,20220828154512_f982f4b9b3915418f7f6686e932de882,1
2022-10-29,A,20220831094059_e0a053f23f05f77a4dbc768bdab3be28,3
2022-10-29,A,20220831233833_b6298ff4d5543d33fc6ce90b8a38154a,5
2022-10-29,A,20220909204641_4e1cf04a535e0aa076b0826de4dbe7eb,1
2022-10-29,A,20220910174719_22eb9a95af822549e199fcdcbccc9bbb,1
2022-10-29,A,20220914141200_609bcdf2b0910dc3d9b0ddd857ffa651,1
2022-10-29,A,20220917220404_fe3c7fd64af84fe15bab53f630b1d85d,1
2022-10-29,A,20220920200842_c44e7a2ef778351e584404a9e7672a88,1
2022-10-29,A,20220925193900_79ca62cae77827bb50e927b6210e6e58,2
2022-10-29,A,20220929185247_40cd19aad93705378162950be3ba886c,1
2022-10-29,A,20221003193300_1c7aac03e7fddaa7fed73ff81a47149c,1
2022-10-29,A,20221009135703_54bc785d1f5461ceab271803323a0f03,2
2022-10-29,A,20221014080012_98e5a34be2b3076ab751f02b64911dbc,3
2022-10-29,A,20221017152506_1fb3d523bdef55509eda827b058916c3,1
2022-10-29,A,20221017215754_6593cd919c771be0cd6959bfe389ad89,4
2022-10-29,A,20221018190556_e00179c8e95e0aa457a4d7188c570c2a,1
2022-10-29,A,20221021023045_7ab08abf80dde270f5aade2b4dbcb291,3
2022-10-29,A,20221023223823_2cfa1f2e180498e08d2ead36c9d5d222,2
2022-10-29,A,20221024215112_6f05ac6619fa2ae6cf005757b85660e3,1
2022-10-29,A,20221026185710_910e7a9ba04345f42496a90697b08eb1,2
2022-10-29,A,20221026221723_7b149dcc5fa38855d76cd541b1084741,1
2022-10-29,A,20221027100844_5bf5b6dd60bec3bb6a84bff7cce43eaa,1
2022-10-29,A,20221028172813_40e41afc009dc0b873ae52883c8b696f,2
2022-10-29,A,20221028195752_8736c407810af89ec576fe191b943e13,1
2022-10-29,A,20221029064500_567e813bb02810a6fe232386b6a86c51,1
2022-10-29,A,20221029100616_057fe97353d7cb0ad4988e1cbfd428b8,1
