pdate,c_num,A,B,n_day,A_rate,B_rate
2022-11-05,1,59.0,53.0,5,0.7108433734939759,0.7162162162162162
2022-11-05,2,19.0,19.0,5,0.2289156626506024,0.25675675675675674
2022-11-05,3,4.0,1.0,5,0.04819277108433735,0.013513513513513514
2022-11-05,4,1.0,1.0,5,0.012048192771084338,0.013513513513513514
2022-11-06,1,40.0,36.0,5,0.5970149253731343,0.5217391304347826
2022-11-06,2,18.0,22.0,5,0.26865671641791045,0.3188405797101449
2022-11-06,3,8.0,8.0,5,0.11940298507462686,0.11594202898550725
2022-11-06,4,1.0,3.0,5,0.014925373134328358,0.043478260869565216
2022-11-07,1,45.0,37.0,5,0.6081081081081081,0.6379310344827587
2022-11-07,2,18.0,16.0,5,0.24324324324324326,0.27586206896551724
2022-11-07,3,8.0,3.0,5,0.10810810810810811,0.05172413793103448
2022-11-07,4,3.0,2.0,5,0.04054054054054054,0.034482758620689655
2022-10-27,1,21.0,35.0,6,0.65625,0.603448275862069
2022-10-27,2,6.0,15.0,6,0.1875,0.25862068965517243
2022-10-27,3,4.0,3.0,6,0.125,0.05172413793103448
2022-10-27,4,1.0,3.0,6,0.03125,0.05172413793103448
2022-10-27,5,0.0,2.0,6,0.0,0.034482758620689655
2022-10-28,1,24.0,25.0,6,0.7058823529411765,0.5555555555555556
2022-10-28,2,7.0,10.0,6,0.20588235294117646,0.2222222222222222
2022-10-28,3,3.0,5.0,6,0.08823529411764706,0.1111111111111111
2022-10-28,4,0.0,3.0,6,0.0,0.06666666666666667
2022-10-28,5,0.0,2.0,6,0.0,0.044444444444444446
2022-10-29,1,36.0,27.0,6,0.8571428571428571,0.6136363636363636
2022-10-29,2,3.0,7.0,6,0.07142857142857142,0.1590909090909091
2022-10-29,3,3.0,5.0,6,0.07142857142857142,0.11363636363636363
2022-10-29,4,0.0,3.0,6,0.0,0.06818181818181818
2022-10-29,5,0.0,2.0,6,0.0,0.045454545454545456
2022-10-30,1,23.0,29.0,6,0.6571428571428571,0.6170212765957447
2022-10-30,2,8.0,13.0,6,0.22857142857142856,0.2765957446808511
2022-10-30,3,2.0,2.0,6,0.05714285714285714,0.0425531914893617
2022-10-30,4,2.0,2.0,6,0.05714285714285714,0.0425531914893617
2022-10-30,5,0.0,1.0,6,0.0,0.02127659574468085
2022-10-31,1,20.0,26.0,6,0.625,0.7878787878787878
2022-10-31,2,9.0,0.0,6,0.28125,0.0
2022-10-31,3,3.0,4.0,6,0.09375,0.12121212121212122
2022-10-31,4,0.0,3.0,6,0.0,0.09090909090909091
2022-11-01,1,35.0,27.0,6,0.6862745098039216,0.6923076923076923
2022-11-01,2,12.0,5.0,6,0.23529411764705882,0.1282051282051282
2022-11-01,3,1.0,6.0,6,0.0196078431372549,0.15384615384615385
2022-11-01,4,3.0,1.0,6,0.058823529411764705,0.02564102564102564
2022-11-02,1,42.0,34.0,6,0.7924528301886793,0.723404255319149
2022-11-02,2,3.0,10.0,6,0.05660377358490566,0.2127659574468085
2022-11-02,3,5.0,3.0,6,0.09433962264150944,0.06382978723404255
2022-11-02,4,1.0,0.0,6,0.018867924528301886,0.0
2022-11-02,5,2.0,0.0,6,0.03773584905660377,0.0
2022-11-03,1,51.0,40.0,6,0.75,0.6666666666666666
2022-11-03,2,13.0,18.0,6,0.19117647058823528,0.3
2022-11-03,3,2.0,2.0,6,0.029411764705882353,0.03333333333333333
2022-11-03,4,2.0,0.0,6,0.029411764705882353,0.0
2022-11-04,1,53.0,40.0,6,0.6463414634146342,0.7017543859649122
2022-11-04,2,20.0,12.0,6,0.24390243902439024,0.21052631578947367
2022-11-04,3,5.0,5.0,6,0.06097560975609756,0.08771929824561403
2022-11-04,4,2.0,0.0,6,0.024390243902439025,0.0
2022-11-04,5,2.0,0.0,6,0.024390243902439025,0.0
2022-11-05,1,58.0,52.0,6,0.6987951807228916,0.7027027027027027
2022-11-05,2,20.0,20.0,6,0.24096385542168675,0.2702702702702703
2022-11-05,3,2.0,1.0,6,0.024096385542168676,0.013513513513513514
2022-11-05,4,3.0,1.0,6,0.03614457831325301,0.013513513513513514
2022-11-06,1,40.0,35.0,6,0.5970149253731343,0.5072463768115942
2022-11-06,2,18.0,23.0,6,0.26865671641791045,0.3333333333333333
2022-11-06,3,7.0,8.0,6,0.1044776119402985,0.11594202898550725
2022-11-06,4,2.0,2.0,6,0.029850746268656716,0.028985507246376812
2022-11-06,5,0.0,1.0,6,0.0,0.014492753623188406
2022-11-07,1,42.0,36.0,6,0.5675675675675675,0.6206896551724138
2022-11-07,2,21.0,17.0,6,0.28378378378378377,0.29310344827586204
2022-11-07,3,7.0,3.0,6,0.0945945945945946,0.05172413793103448
2022-11-07,4,3.0,2.0,6,0.04054054054054054,0.034482758620689655
2022-11-07,5,1.0,0.0,6,0.013513513513513514,0.0
2022-10-27,1,21.0,35.0,7,0.65625,0.603448275862069
2022-10-27,2,6.0,13.0,7,0.1875,0.22413793103448276
2022-10-27,3,2.0,5.0,7,0.0625,0.08620689655172414
2022-10-27,4,3.0,2.0,7,0.09375,0.034482758620689655
2022-10-27,5,0.0,3.0,7,0.0,0.05172413793103448
2022-10-28,1,21.0,24.0,7,0.6176470588235294,0.5333333333333333
2022-10-28,2,10.0,11.0,7,0.29411764705882354,0.24444444444444444
2022-10-28,3,2.0,3.0,7,0.058823529411764705,0.06666666666666667
2022-10-28,4,1.0,4.0,7,0.029411764705882353,0.08888888888888889
2022-10-28,5,0.0,2.0,7,0.0,0.044444444444444446
2022-10-28,6,0.0,1.0,7,0.0,0.022222222222222223
2022-10-29,1,31.0,23.0,7,0.7380952380952381,0.5227272727272727
2022-10-29,2,8.0,11.0,7,0.19047619047619047,0.25
2022-10-29,3,2.0,4.0,7,0.047619047619047616,0.09090909090909091
2022-10-29,4,1.0,4.0,7,0.023809523809523808,0.09090909090909091
2022-10-29,5,0.0,1.0,7,0.0,0.022727272727272728
2022-10-29,6,0.0,1.0,7,0.0,0.022727272727272728
2022-10-30,1,21.0,27.0,7,0.6,0.574468085106383
2022-10-30,2,10.0,15.0,7,0.2857142857142857,0.3191489361702128
2022-10-30,3,1.0,2.0,7,0.02857142857142857,0.0425531914893617
2022-10-30,4,2.0,1.0,7,0.05714285714285714,0.02127659574468085
2022-10-30,5,1.0,1.0,7,0.02857142857142857,0.02127659574468085
2022-10-30,6,0.0,1.0,7,0.0,0.02127659574468085
2022-10-31,1,20.0,26.0,7,0.625,0.7878787878787878
2022-10-31,2,8.0,0.0,7,0.25,0.0
2022-10-31,3,3.0,3.0,7,0.09375,0.09090909090909091
2022-10-31,4,1.0,3.0,7,0.03125,0.09090909090909091
2022-10-31,5,0.0,1.0,7,0.0,0.030303030303030304
2022-11-01,1,34.0,25.0,7,0.6666666666666666,0.6410256410256411
2022-11-01,2,12.0,7.0,7,0.23529411764705882,0.1794871794871795
2022-11-01,3,2.0,5.0,7,0.0392156862745098,0.1282051282051282
2022-11-01,4,3.0,2.0,7,0.058823529411764705,0.05128205128205128
2022-11-02,1,41.0,32.0,7,0.7735849056603774,0.6808510638297872
2022-11-02,2,4.0,12.0,7,0.07547169811320754,0.2553191489361702
2022-11-02,3,5.0,1.0,7,0.09433962264150944,0.02127659574468085
2022-11-02,4,1.0,2.0,7,0.018867924528301886,0.0425531914893617
2022-11-02,5,2.0,0.0,7,0.03773584905660377,0.0
2022-11-03,1,51.0,40.0,7,0.75,0.6666666666666666
2022-11-03,2,13.0,17.0,7,0.19117647058823528,0.2833333333333333
2022-11-03,3,1.0,2.0,7,0.014705882352941176,0.03333333333333333
2022-11-03,4,3.0,1.0,7,0.04411764705882353,0.016666666666666666
2022-11-04,1,53.0,39.0,7,0.6463414634146342,0.6842105263157895
2022-11-04,2,20.0,13.0,7,0.24390243902439024,0.22807017543859648
2022-11-04,3,5.0,5.0,7,0.06097560975609756,0.08771929824561403
2022-11-04,4,1.0,0.0,7,0.012195121951219513,0.0
2022-11-04,5,2.0,0.0,7,0.024390243902439025,0.0
2022-11-04,6,1.0,0.0,7,0.012195121951219513,0.0
2022-11-05,1,58.0,51.0,7,0.6987951807228916,0.6891891891891891
2022-11-05,2,20.0,17.0,7,0.24096385542168675,0.22972972972972974
2022-11-05,3,2.0,5.0,7,0.024096385542168676,0.06756756756756757
2022-11-05,4,2.0,1.0,7,0.024096385542168676,0.013513513513513514
2022-11-05,5,1.0,0.0,7,0.012048192771084338,0.0
2022-11-06,1,39.0,35.0,7,0.582089552238806,0.5072463768115942
2022-11-06,2,19.0,22.0,7,0.2835820895522388,0.3188405797101449
2022-11-06,3,6.0,9.0,7,0.08955223880597014,0.13043478260869565
2022-11-06,4,2.0,2.0,7,0.029850746268656716,0.028985507246376812
2022-11-06,5,1.0,1.0,7,0.014925373134328358,0.014492753623188406
2022-11-07,1,42.0,36.0,7,0.5675675675675675,0.6206896551724138
2022-11-07,2,19.0,16.0,7,0.25675675675675674,0.27586206896551724
2022-11-07,3,8.0,4.0,7,0.10810810810810811,0.06896551724137931
2022-11-07,4,4.0,2.0,7,0.05405405405405406,0.034482758620689655
2022-11-07,5,1.0,0.0,7,0.013513513513513514,0.0
