pdate,menu_name,A,B
2022-10-31,鱼香肉丝,,3.0
2022-10-31,虎皮青椒,1.0,2.0
2022-10-31,西红柿炒蛋,1.0,2.0
2022-10-31,麻婆豆腐,1.0,2.0
2022-10-31,鱼香茄子,,2.0
2022-10-31,干锅包菜,2.0,1.0
2022-10-31,水煮肉片,1.0,1.0
2022-10-31,金汤肥牛,,1.0
2022-10-31,肉末茄子,6.0,
2022-10-31,香菇青菜,5.0,
2022-10-31,萝卜炖牛腩,3.0,
2022-10-31,糖醋包菜,2.0,
2022-10-31,红烧鸡翅,2.0,
2022-10-31,板栗焖鸡块（滋补餐）,1.0,
2022-10-31,沙茶牛肉,1.0,
2022-10-31,盐焗鸡,1.0,
2022-10-31,芹菜牛肉丝,1.0,
2022-10-31,蒜子烧鳝,1.0,
2022-10-31,蒜香蜜汁鸡腿,1.0,
2022-10-31,辣炒凤爪,1.0,
2022-10-31,青椒炒肉丝,1.0,
2022-10-30,油焖茄子,6.0,16.0
2022-10-30,辣椒炒肉,10.0,13.0
2022-10-30,青椒炒蛋,3.0,10.0
2022-10-30,回锅肉,1.0,7.0
2022-10-30,酸辣土豆丝,2.0,5.0
2022-10-30,干锅包菜,,4.0
2022-10-30,干锅花菜,,4.0
2022-10-30,虎皮青椒,,3.0
2022-10-30,鱼香茄子,,3.0
2022-10-30,蚝油生菜,4.0,2.0
2022-10-30,芹菜牛肉丝,1.0,2.0
2022-10-30,鱼香肉丝,1.0,2.0
2022-10-30,水煮肉片,,2.0
2022-10-30,麻婆豆腐,1.0,1.0
2022-10-30,茄汁花菜,,1.0
2022-10-30,蒜蓉菠菜,,1.0
2022-10-30,肉末茄子,9.0,
2022-10-30,西红柿炒蛋,4.0,
2022-10-30,香菇青菜,4.0,
2022-10-30,清炒荷兰豆,3.0,
2022-10-30,蒜香蜜汁鸡腿,3.0,
2022-10-30,盐焗鸡,2.0,
2022-10-30,蒜蓉菜心,2.0,
2022-10-30,酸辣白菜,2.0,
2022-10-30,可乐鸡翅,1.0,
2022-10-30,大厨炒方便面,1.0,
2022-10-30,小炒黄牛肉,1.0,
2022-10-30,排骨炖土豆,1.0,
2022-10-30,法式香煎银鳕鱼,1.0,
2022-10-30,糖醋包菜,1.0,
2022-10-30,红烧肉,1.0,
2022-10-30,红烧肉（家常版）,1.0,
2022-10-30,青椒炒肉丝,1.0,
2022-10-29,油焖茄子,5.0,10.0
2022-10-29,干锅花菜,4.0,8.0
2022-10-29,蚝油生菜,4.0,7.0
2022-10-29,青椒炒蛋,2.0,7.0
2022-10-29,干锅包菜,,7.0
2022-10-29,酸辣土豆丝,5.0,6.0
2022-10-29,辣椒炒肉,3.0,6.0
2022-10-29,回锅肉,2.0,6.0
2022-10-29,虎皮青椒,1.0,5.0
2022-10-29,鱼香肉丝,1.0,5.0
2022-10-29,麻婆豆腐,,5.0
2022-10-29,鱼香茄子,1.0,2.0
2022-10-29,水煮肉片,,1.0
2022-10-29,金汤肥牛,,1.0
2022-10-29,肉末茄子,8.0,
2022-10-29,西红柿炒蛋,4.0,
2022-10-29,糖醋包菜,3.0,
2022-10-29,茄汁花菜,3.0,
2022-10-29,香菇青菜,3.0,
2022-10-29,小炒黄牛肉,2.0,
2022-10-29,排骨炖土豆,2.0,
2022-10-29,芹菜牛肉丝,2.0,
2022-10-29,冬瓜排骨汤,1.0,
2022-10-29,糖醋排骨,1.0,
2022-10-29,红烧肉（家常版）,1.0,
2022-10-29,红烧鸡翅,1.0,
2022-10-29,蒜泥油麦菜,1.0,
2022-10-29,蒜蓉菜心,1.0,
2022-10-29,西红柿龙利鱼（减脂餐）,1.0,
2022-10-28,辣椒炒肉,2.0,13.0
2022-10-28,干锅花菜,1.0,11.0
2022-10-28,油焖茄子,2.0,8.0
2022-10-28,酸辣土豆丝,1.0,8.0
2022-10-28,青椒炒蛋,,7.0
2022-10-28,回锅肉,1.0,4.0
2022-10-28,鱼香肉丝,1.0,4.0
2022-10-28,蚝油生菜,2.0,3.0
2022-10-28,干锅包菜,1.0,3.0
2022-10-28,虎皮青椒,1.0,3.0
2022-10-28,鱼香茄子,,3.0
2022-10-28,麻婆豆腐,4.0,2.0
2022-10-28,西红柿炒蛋,1.0,1.0
2022-10-28,芹菜牛肉丝,,1.0
2022-10-28,肉末茄子,11.0,
2022-10-28,香菇青菜,7.0,
2022-10-28,糖醋包菜,5.0,
2022-10-28,排骨炖土豆,3.0,
2022-10-28,泰式炸虾片,2.0,
2022-10-28,蒜蓉菜心,2.0,
2022-10-28,酸辣白菜,2.0,
2022-10-28,咖喱炒鸡蛋,1.0,
2022-10-28,板栗焖鸡块（滋补餐）,1.0,
2022-10-28,泰式柠檬虾,1.0,
2022-10-28,糖醋排骨,1.0,
2022-10-28,红咖喱鱼丸,1.0,
2022-10-28,肉丝炒面,1.0,
2022-10-28,胡萝卜鸡蛋饼,1.0,
2022-10-28,菠萝炒饭,1.0,
2022-10-28,蒜泥油麦菜,1.0,
2022-10-28,阳春面,1.0,
2022-10-27,辣椒炒肉,4.0,13.0
2022-10-27,酸辣土豆丝,8.0,12.0
2022-10-27,油焖茄子,2.0,11.0
